172.23.72.224;2022-12-16 11:29:56.747917;-20.482739320;-43.916586178
172.23.72.224;2022-12-16 11:32:37.120086;Erro;Erro;
172.23.72.224;2022-12-16 11:33:07.844129;Erro;Erro;
172.23.72.224;2022-12-16 11:33:38.564174;Erro;Erro;
172.23.72.224;2022-12-16 11:34:07.228143;Erro;Erro;
172.23.72.224;2022-12-16 11:34:37.944139;Erro;Erro;
172.23.72.224;2022-12-16 11:35:08.680086;Erro;Erro;
172.23.72.224;2022-12-16 11:35:39.392152;Erro;Erro;
172.23.72.224;2022-12-16 11:36:08.056129;Erro;Erro;
172.23.72.224;2022-12-16 11:36:38.792122;Erro;Erro;
172.23.72.224;2022-12-16 11:37:09.496215;Erro;Erro;
172.23.72.224;2022-12-16 11:37:40.228187;Erro;Erro;
172.23.72.224;2022-12-16 11:38:10.936138;Erro;Erro;
172.23.72.224;2022-12-16 11:38:39.620153;Erro;Erro;
172.23.72.224;2022-12-16 11:39:10.328184;Erro;Erro;
172.23.72.224;2022-12-16 11:39:41.048146;Erro;Erro;
172.23.72.224;2022-12-16 11:40:11.768116;Erro;Erro;
172.23.72.224;2022-12-16 11:40:40.452110;Erro;Erro;
172.23.72.224;2022-12-16 11:41:11.172071;Erro;Erro;
172.23.72.224;2022-12-16 11:41:41.896170;Erro;Erro;
172.23.72.224;2022-12-16 11:42:12.612216;Erro;Erro;
172.23.72.224;2022-12-16 11:42:41.276174;Erro;Erro;
172.23.72.224;2022-12-16 11:43:12.008108;Erro;Erro;
172.23.72.224;2022-12-16 11:43:42.712211;Erro;Erro;
172.23.72.224;2022-12-16 11:44:13.448126;Erro;Erro;
172.23.72.224;2022-12-16 11:44:44.164088;Erro;Erro;
172.23.72.224;2022-12-16 11:45:12.832148;Erro;Erro;
172.23.72.224;2022-12-16 11:45:43.560125;Erro;Erro;
172.23.72.224;2022-12-16 11:46:14.264132;Erro;Erro;
172.23.72.224;2022-12-16 11:46:44.992068;Erro;Erro;
172.23.72.224;2022-12-16 11:47:13.660136;Erro;Erro;
172.23.72.224;2022-12-16 11:47:44.400186;Erro;Erro;
172.23.72.224;2022-12-16 11:48:15.096166;Erro;Erro;
172.23.72.224;2022-12-16 11:48:45.824219;Erro;Erro;
172.23.72.224;2022-12-16 11:49:16.536103;Erro;Erro;
172.23.72.224;2022-12-16 11:49:45.216132;Erro;Erro;
172.23.72.224;2022-12-16 11:50:15.928143;Erro;Erro;
172.23.72.224;2022-12-16 11:50:46.652202;Erro;Erro;
172.23.72.224;2022-12-16 11:51:17.368104;Erro;Erro;
172.23.72.224;2022-12-16 11:51:46.040116;Erro;Erro;
172.23.72.224;2022-12-16 11:52:16.768096;Erro;Erro;
172.23.72.224;2022-12-16 11:52:47.488113;Erro;Erro;
172.23.72.224;2022-12-16 11:53:18.200121;Erro;Erro;
172.23.72.224;2022-12-16 11:53:48.920111;Erro;Erro;
172.23.72.224;2022-12-16 11:54:17.608127;Erro;Erro;
172.23.72.224;2022-12-16 11:54:48.320096;Erro;Erro;
172.23.72.224;2022-12-16 11:55:19.044150;Erro;Erro;
172.23.72.224;2022-12-16 11:55:49.752170;Erro;Erro;
172.23.72.224;2022-12-16 11:56:18.428184;Erro;Erro;
172.23.72.224;2022-12-16 11:56:49.156123;Erro;Erro;
172.23.72.224;2022-12-16 11:57:19.876100;Erro;Erro;
172.23.72.224;2022-12-16 11:57:50.600166;Erro;Erro;
172.23.72.224;2022-12-16 11:58:19.260135;Erro;Erro;
172.23.72.224;2022-12-16 11:58:49.984118;Erro;Erro;
172.23.72.224;2022-12-16 11:59:20.696109;Erro;Erro;
172.23.72.224;2022-12-16 11:59:51.432104;Erro;Erro;
172.23.72.224;2022-12-16 12:00:22.136132;Erro;Erro;
172.23.72.224;2022-12-16 12:00:50.810273;Erro;Erro;
172.23.72.224;2022-12-16 12:01:21.536099;Erro;Erro;
172.23.72.224;2022-12-16 12:01:52.272252;Erro;Erro;
172.23.72.224;2022-12-16 12:02:22.976127;Erro;Erro;
172.23.72.224;2022-12-16 12:02:51.656071;Erro;Erro;
172.23.72.224;2022-12-16 12:03:22.372106;Erro;Erro;
172.23.72.224;2022-12-16 12:03:53.088152;Erro;Erro;
172.23.72.224;2022-12-16 12:04:23.812131;Erro;Erro;
172.23.72.224;2022-12-16 12:04:54.524136;Erro;Erro;
172.23.72.224;2022-12-16 12:05:23.208240;Erro;Erro;
172.23.72.224;2022-12-16 12:05:53.912172;Erro;Erro;
172.23.72.224;2022-12-16 12:06:24.636140;Erro;Erro;
172.23.72.224;2022-12-16 12:06:55.352795;Erro;Erro;
172.23.72.224;2022-12-16 12:07:24.024104;Erro;Erro;
172.23.72.224;2022-12-16 12:07:54.748118;Erro;Erro;
172.23.72.224;2022-12-16 12:08:25.472116;Erro;Erro;
172.23.72.224;2022-12-16 12:08:56.184187;Erro;Erro;
172.23.72.224;2022-12-16 12:09:26.904158;Erro;Erro;
172.23.72.224;2022-12-16 12:09:55.580209;Erro;Erro;
172.23.72.224;2022-12-16 12:10:26.296124;Erro;Erro;
172.23.72.224;2022-12-16 12:10:57.016204;Erro;Erro;
172.23.72.224;2022-12-16 12:11:27.736254;Erro;Erro;
172.23.72.224;2022-12-16 12:11:56.424087;Erro;Erro;
172.23.72.224;2022-12-16 12:12:27.144080;Erro;Erro;
172.23.72.224;2022-12-16 12:12:57.848115;Erro;Erro;
172.23.72.224;2022-12-16 12:13:28.580110;Erro;Erro;
172.23.72.224;2022-12-16 12:13:57.240151;Erro;Erro;
172.23.72.224;2022-12-16 12:14:27.976064;Erro;Erro;
172.23.72.224;2022-12-16 12:14:58.680231;Erro;Erro;
172.23.72.224;2022-12-16 12:15:29.400094;Erro;Erro;
172.23.72.224;2022-12-16 12:16:00.120123;Erro;Erro;
172.23.72.224;2022-12-16 12:16:28.792157;Erro;Erro;
172.23.72.224;2022-12-16 12:16:59.520137;Erro;Erro;
172.23.72.224;2022-12-16 12:17:30.232109;Erro;Erro;
172.23.72.224;2022-12-16 12:18:00.952110;Erro;Erro;
172.23.72.224;2022-12-16 12:18:31.672124;Erro;Erro;
172.23.72.224;2022-12-16 12:19:00.344157;Erro;Erro;
172.23.72.224;2022-12-16 12:19:31.064156;Erro;Erro;
172.23.72.224;2022-12-16 12:20:01.784115;Erro;Erro;
172.23.72.224;2022-12-16 12:20:32.516177;Erro;Erro;
172.23.72.224;2023-10-23 10:29:54.957513;-20.451402414;-43.923897786
172.23.72.224;2023-10-23 10:30:24.867289;-20.449843985;-43.924116788
172.23.72.224;2023-10-23 10:31:35.664900;-20.446546080;-43.923520178
172.23.72.224;2023-10-23 10:32:12.144057;-20.445171982;-43.922866421
172.23.72.224;2023-10-23 10:32:46.078030;-20.445025403;-43.921217425
172.23.72.224;2023-10-23 10:33:19.906416;-20.445271717;-43.919882838
172.23.72.224;2023-10-23 10:33:53.697397;-20.445846792;-43.918999826
172.23.72.224;2023-10-23 10:34:28.072585;-20.445873835;-43.918980544
172.23.72.224;2023-10-23 10:35:01.518399;-20.445873439;-43.918983891
172.23.72.224;2023-10-23 10:35:35.889382;-20.445874868;-43.918984499
172.23.72.224;2023-10-23 10:36:12.256344;-20.445874935;-43.918984291
172.23.72.224;2023-10-23 10:36:45.440064;-20.445874374;-43.918984943
172.23.72.224;2023-10-23 10:37:19.577433;-20.445873859;-43.918985873
172.23.72.224;2023-10-23 10:37:52.997135;-20.445873925;-43.918985513
172.23.72.224;2023-10-23 10:38:26.764157;-20.445747361;-43.919531848
172.23.72.224;2023-10-23 10:39:00.893765;-20.444945648;-43.920758907
172.23.72.224;2023-10-23 10:39:34.882413;-20.444927930;-43.922333064
172.23.72.224;2023-10-23 10:40:10.643570;-20.446238341;-43.923458425
172.23.72.224;2023-10-23 10:40:44.817899;-20.448246430;-43.923967909
172.23.72.224;2023-10-23 10:41:18.149390;-20.450495421;-43.924121444
172.23.72.224;2023-10-23 10:41:51.633342;-20.452641770;-43.923424255
172.23.72.224;2023-10-23 10:42:25.995056;-20.453919383;-43.922957065
