172.23.72.144;2022-12-16 11:26:03.908119;Erro;Erro;
172.23.72.144;2022-12-16 11:26:34.616116;Erro;Erro;
172.23.72.144;2022-12-16 11:26:43.597020;0.000000000;0.000000000
172.23.72.144;2022-12-16 11:26:55.183384;-20.468801558;-43.931529456
172.23.72.144;2022-12-16 11:26:59.224107;-20.468798694;-43.931530522
172.23.72.144;2022-12-16 11:27:03.288154;Erro;Erro;
172.23.72.144;2022-12-16 11:27:25.445939;-20.468748249;-43.931468319
172.23.72.144;2022-12-16 11:27:34.016094;Erro;Erro;
172.23.72.144;2022-12-16 11:27:55.761121;-20.468744925;-43.931466253
172.23.72.144;2022-12-16 11:28:25.940541;-20.468731863;-43.931420579
172.23.72.144;2022-12-16 11:28:56.254752;-20.468228564;-43.930986374
172.23.72.144;2022-12-16 11:29:26.508572;-20.467877838;-43.930959746
172.23.72.144;2022-12-16 11:29:56.724142;-20.466512016;-43.930421035
172.23.72.144;2022-12-16 11:30:26.952647;-20.464562645;-43.929417379
172.23.72.144;2022-12-16 11:30:57.218648;-20.461989394;-43.927891555
172.23.72.144;2022-12-16 11:31:27.516595;-20.461331993;-43.925414336
172.23.72.144;2022-12-16 11:31:57.920306;-20.462912957;-43.925575762
172.23.72.144;2022-12-16 11:32:27.967914;-20.465246622;-43.926241564
172.23.72.144;2022-12-16 11:32:58.369746;-20.466440729;-43.924964396
172.23.72.144;2022-12-16 11:33:28.509065;-20.467609761;-43.923556661
172.23.72.144;2022-12-16 11:33:58.762895;-20.469799186;-43.923601402
172.23.72.144;2022-12-16 11:34:28.926102;-20.471755084;-43.923825407
172.23.72.144;2022-12-16 11:34:59.227257;-20.473673784;-43.923515559
172.23.72.144;2022-12-16 11:35:29.514090;-20.475200428;-43.921077347
172.23.72.144;2022-12-16 11:35:59.791858;-20.474113260;-43.919328411
172.23.72.144;2022-12-16 11:36:29.984384;-20.473914194;-43.917541329
172.23.72.144;2022-12-16 11:37:00.295967;-20.473289151;-43.917970949
172.23.72.144;2022-12-16 11:37:30.882340;-20.473884561;-43.917365399
172.23.72.144;2022-12-16 11:38:00.798717;-20.474503748;-43.915385107
172.23.72.144;2022-12-16 11:38:31.208519;-20.472974179;-43.912542231
172.23.72.144;2022-12-16 11:39:02.441619;-20.471862385;-43.910657523
172.23.72.144;2022-12-16 11:39:31.720725;-20.470835145;-43.910046092
172.23.72.144;2022-12-16 11:40:01.807149;-20.469630257;-43.912203534
172.23.72.144;2022-12-16 11:40:32.192438;-20.468614691;-43.914390263
172.23.72.144;2022-12-16 11:41:02.720976;-20.468233907;-43.916538297
172.23.72.144;2022-12-16 11:41:32.623500;-20.469533334;-43.917181057
172.23.72.144;2022-12-16 11:42:02.844435;-20.469464332;-43.916680322
172.23.72.144;2022-12-16 11:42:33.453055;-20.469298700;-43.916653758
172.23.72.144;2022-12-16 11:43:03.424923;-20.469283562;-43.916629898
172.23.72.144;2022-12-16 11:43:33.672948;-20.469284310;-43.916629491
172.23.72.144;2022-12-16 11:44:05.137187;-20.469284536;-43.916625984
172.23.72.144;2022-12-16 11:44:34.112119;-20.469284850;-43.916623301
172.23.72.144;2022-12-16 11:45:04.670169;-20.469284776;-43.916623365
172.23.72.144;2022-12-16 11:45:34.692336;-20.469284691;-43.916623901
172.23.72.144;2022-12-16 11:46:05.018417;-20.469284638;-43.916624548
172.23.72.144;2022-12-16 11:46:35.271955;-20.469284509;-43.916625072
172.23.72.144;2022-12-16 11:47:05.434734;-20.469289970;-43.916636249
172.23.72.144;2022-12-16 11:47:35.789437;-20.469464206;-43.917135563
172.23.72.144;2022-12-16 11:48:06.045174;-20.469470189;-43.917115650
172.23.72.144;2022-12-16 11:48:36.318766;-20.469477336;-43.916983051
172.23.72.144;2022-12-16 11:51:17.368225;Erro;Erro;
172.23.72.144;2022-12-16 11:51:37.796280;-20.469453967;-43.917003953
172.23.72.144;2022-12-16 11:51:38.924306;-20.469454853;-43.917004905
172.23.72.144;2022-12-16 11:51:42.004536;-20.469454672;-43.917001068
172.23.72.144;2022-12-16 11:51:46.040583;Erro;Erro;
172.23.72.144;2022-12-16 11:52:08.041627;-20.469476382;-43.916983910
172.23.72.144;2022-12-16 11:52:16.776103;Erro;Erro;
172.23.72.144;2022-12-16 11:52:38.202190;-20.469481126;-43.916986437
172.23.72.144;2022-12-16 11:53:08.324911;-20.469482021;-43.916986295
172.23.72.144;2022-12-16 11:53:38.648352;-20.469481924;-43.916985476
172.23.72.144;2022-12-16 11:56:18.440078;Erro;Erro;
172.23.72.144;2022-12-16 11:56:49.144149;Erro;Erro;
172.23.72.144;2022-12-16 11:56:56.294370;0.000000000;0.000000000
172.23.72.144;2022-12-16 11:57:10.540780;-20.469478152;-43.916991019
172.23.72.144;2022-12-16 11:57:13.795430;-20.469477210;-43.916988962
172.23.72.144;2022-12-16 11:57:19.880068;Erro;Erro;
172.23.72.144;2022-12-16 11:57:41.202684;-20.469477954;-43.916990141
172.23.72.144;2022-12-16 11:57:50.584144;Erro;Erro;
172.23.72.144;2022-12-16 11:58:10.974309;-20.469479676;-43.916989129
172.23.72.144;2022-12-16 11:58:41.406006;-20.469479639;-43.916989285
172.23.72.144;2022-12-16 12:01:21.540063;Erro;Erro;
172.23.72.144;2022-12-16 12:01:52.256102;Erro;Erro;
172.23.72.144;2022-12-16 12:02:22.992123;Erro;Erro;
172.23.72.144;2022-12-16 12:02:51.656074;Erro;Erro;
172.23.72.144;2022-12-16 12:03:22.368140;Erro;Erro;
172.23.72.144;2022-12-16 12:03:53.088128;Erro;Erro;
172.23.72.144;2022-12-16 12:04:15.460248;0.000000000;0.000000000
172.23.72.144;2022-12-16 12:04:15.542352;0.000000000;0.000000000
172.23.72.144;2022-12-16 12:04:17.930582;0.000000000;0.000000000
172.23.72.144;2022-12-16 12:04:23.800164;Erro;Erro;
172.23.72.144;2022-12-16 12:04:44.421558;-20.469485938;-43.917010239
172.23.72.144;2022-12-16 12:04:52.472159;Erro;Erro;
172.23.72.144;2022-12-16 12:07:24.024104;Erro;Erro;
172.23.72.144;2022-12-16 12:07:54.748118;Erro;Erro;
172.23.72.144;2022-12-16 12:08:25.480103;Erro;Erro;
172.23.72.144;2022-12-16 12:08:56.200178;Erro;Erro;
172.23.72.144;2022-12-16 12:09:24.864148;Erro;Erro;
172.23.72.144;2022-12-16 12:09:55.596100;Erro;Erro;
172.23.72.144;2022-12-16 12:10:26.296187;Erro;Erro;
172.23.72.144;2022-12-16 12:10:57.024082;Erro;Erro;
172.23.72.144;2022-12-16 12:11:27.736126;Erro;Erro;
172.23.72.144;2022-12-16 12:11:56.408094;Erro;Erro;
172.23.72.144;2022-12-16 12:12:27.128226;Erro;Erro;
172.23.72.144;2022-12-16 12:12:57.848166;Erro;Erro;
172.23.72.144;2022-12-16 12:13:28.584073;Erro;Erro;
172.23.72.144;2022-12-16 12:13:57.248109;Erro;Erro;
172.23.72.144;2022-12-16 12:14:27.960101;Erro;Erro;
172.23.72.144;2022-12-16 12:14:58.688135;Erro;Erro;
172.23.72.144;2022-12-16 12:15:29.408065;Erro;Erro;
172.23.72.144;2022-12-16 12:16:00.136240;Erro;Erro;
172.23.72.144;2022-12-16 12:16:28.812186;Erro;Erro;
172.23.72.144;2022-12-16 12:16:59.512092;Erro;Erro;
172.23.72.144;2022-12-16 12:17:30.232124;Erro;Erro;
172.23.72.144;2022-12-16 12:18:00.960109;Erro;Erro;
172.23.72.144;2022-12-16 12:18:29.624159;Erro;Erro;
172.23.72.144;2022-12-16 12:19:00.356177;Erro;Erro;
172.23.72.144;2022-12-16 12:19:31.080119;Erro;Erro;
172.23.72.144;2022-12-16 12:20:01.792098;Erro;Erro;
172.23.72.144;2022-12-16 12:20:32.504186;Erro;Erro;
172.23.72.144;2023-10-23 10:32:03.452594;Erro;Erro;
172.23.72.144;2023-10-23 10:32:36.224580;Erro;Erro;
172.23.72.144;2023-10-23 10:33:45.864640;Erro;Erro;
172.23.72.144;2023-10-23 10:34:22.716908;Erro;Erro;
172.23.72.144;2023-10-23 10:34:55.484901;Erro;Erro;
172.23.72.144;2023-10-23 10:35:28.264618;Erro;Erro;
172.23.72.144;2023-10-23 10:36:03.072624;Erro;Erro;
172.23.72.144;2023-10-23 10:36:35.840688;Erro;Erro;
172.23.72.144;2023-10-23 10:37:10.676649;Erro;Erro;
172.23.72.144;2023-10-23 10:37:45.469241;Erro;Erro;
172.23.72.144;2023-10-23 10:38:20.284894;Erro;Erro;
172.23.72.144;2023-10-23 10:38:55.108864;Erro;Erro;
172.23.72.144;2023-10-23 10:39:29.924890;Erro;Erro;
172.23.72.144;2023-10-23 10:40:02.684928;Erro;Erro;
172.23.72.144;2023-10-23 10:40:37.500606;Erro;Erro;
172.23.72.144;2023-10-23 10:41:10.269100;Erro;Erro;
172.23.72.144;2023-10-23 10:41:43.060720;Erro;Erro;
172.23.72.144;2023-10-23 10:42:19.912672;Erro;Erro;
172.23.72.144;2023-10-23 10:42:54.720889;Erro;Erro;
172.23.72.144;2023-10-23 10:43:27.488897;Erro;Erro;
172.23.72.144;2023-10-23 10:44:02.316611;Erro;Erro;
172.23.72.144;2023-10-23 10:44:35.084708;Erro;Erro;
172.23.72.144;2023-10-23 10:45:09.884628;Erro;Erro;
172.23.72.144;2023-10-23 10:45:44.712681;Erro;Erro;
172.23.72.144;2023-10-23 10:46:19.528658;Erro;Erro;
172.23.72.144;2023-10-23 10:46:54.345372;Erro;Erro;
172.23.72.144;2023-10-23 10:47:27.100932;Erro;Erro;
172.23.72.144;2023-10-23 10:48:01.916913;Erro;Erro;
172.23.72.144;2023-10-23 10:48:36.732671;Erro;Erro;
172.23.72.144;2023-10-23 10:49:09.500742;Erro;Erro;
172.23.72.144;2023-10-23 10:49:42.276890;Erro;Erro;
172.23.72.144;2023-10-23 10:50:19.140858;Erro;Erro;
172.23.72.144;2023-10-23 10:50:53.960629;Erro;Erro;
172.23.72.144;2023-10-23 10:51:26.732624;Erro;Erro;
172.23.72.144;2023-10-23 10:52:01.536885;Erro;Erro;
172.23.72.144;2023-10-23 10:52:34.300584;Erro;Erro;
172.23.72.144;2023-10-23 10:53:09.120860;Erro;Erro;
172.23.72.144;2023-10-23 10:53:43.932887;Erro;Erro;
172.23.72.144;2023-10-23 10:54:18.760784;Erro;Erro;
172.23.72.144;2023-10-23 10:54:53.576629;Erro;Erro;
172.23.72.144;2023-10-23 10:55:28.384903;Erro;Erro;
172.23.72.144;2023-10-23 10:56:01.172645;Erro;Erro;
172.23.72.144;2023-10-23 10:56:35.964851;Erro;Erro;
172.23.72.144;2023-10-23 10:57:10.780650;Erro;Erro;
172.23.72.144;2023-10-23 10:57:43.556892;Erro;Erro;
172.23.72.144;2023-10-23 10:58:20.420892;Erro;Erro;
172.23.72.144;2023-10-23 10:58:53.192644;Erro;Erro;
172.23.72.144;2023-10-23 10:59:28.010734;Erro;Erro;
172.23.72.144;2023-10-23 11:00:02.816898;Erro;Erro;
172.23.72.144;2023-10-23 11:00:35.588596;Erro;Erro;
172.23.72.144;2023-10-23 11:01:10.397149;Erro;Erro;
172.23.72.144;2023-10-23 11:01:43.170045;Erro;Erro;
172.23.72.144;2023-10-23 11:02:20.028925;Erro;Erro;
172.23.72.144;2023-10-23 11:02:52.808672;Erro;Erro;
172.23.72.144;2023-10-23 11:03:25.580644;Erro;Erro;
172.23.72.144;2023-10-23 11:04:00.400635;Erro;Erro;
172.23.72.144;2023-10-23 11:04:35.204601;Erro;Erro;
172.23.72.144;2023-10-23 11:05:10.024667;Erro;Erro;
