172.23.72.154;2022-12-16 11:57:10.428650;-20.454705227;-43.923684890
172.23.72.154;2022-12-16 11:57:41.359836;-20.455785285;-43.923067541
172.23.72.154;2022-12-16 11:58:11.038801;-20.457398802;-43.923586390
172.23.72.154;2022-12-16 11:58:41.467096;-20.458912871;-43.924612590
172.23.72.154;2022-12-16 11:59:11.631562;-20.460153422;-43.924765094
172.23.72.154;2022-12-16 11:59:41.816564;-20.461249611;-43.925001960
172.23.72.154;2022-12-16 12:00:12.419170;-20.462661033;-43.925387740
172.23.72.154;2022-12-16 12:00:42.240963;-20.464609606;-43.926151081
172.23.72.154;2022-12-16 12:01:12.717177;-20.466313032;-43.926994765
172.23.72.154;2022-12-16 12:01:42.742483;-20.466502232;-43.927020029
172.23.72.154;2022-12-16 12:02:13.047259;-20.466502713;-43.927027230
172.23.72.154;2022-12-16 12:02:43.355017;-20.466449709;-43.927181947
172.23.72.154;2022-12-16 12:03:13.750448;-20.464971055;-43.926624236
172.23.72.154;2022-12-16 12:03:44.223062;-20.464409184;-43.926123959
172.23.72.154;2022-12-16 12:04:14.422612;-20.462364636;-43.925217127
172.23.72.154;2022-12-16 12:04:44.430491;-20.459756739;-43.924683174
172.23.72.154;2022-12-16 12:05:14.869439;-20.457337835;-43.923340415
172.23.72.154;2022-12-16 12:05:44.962049;-20.455654771;-43.922969388
172.23.72.154;2022-12-16 12:06:15.235039;-20.454483274;-43.923961620
172.23.72.154;2022-12-16 12:06:45.556787;-20.455645925;-43.925105309
172.23.72.154;2022-12-16 12:07:15.753545;-20.456612228;-43.925026849
172.23.72.154;2022-12-16 12:07:46.109298;-20.456637646;-43.925011231
172.23.72.154;2022-12-16 12:08:16.295602;-20.456623525;-43.925013749
172.23.72.154;2022-12-16 12:08:46.560919;-20.456616892;-43.925015624
172.23.72.154;2022-12-16 12:09:16.781455;-20.456616853;-43.925015642
172.23.72.154;2022-12-16 12:09:47.070844;-20.456617524;-43.925015142
172.23.72.154;2022-12-16 12:10:17.388934;-20.456618892;-43.925014264
172.23.72.154;2022-12-16 12:10:47.605796;-20.456620530;-43.925013841
172.23.72.154;2022-12-16 12:11:17.818636;-20.456621986;-43.925013583
172.23.72.154;2022-12-16 12:11:48.002930;-20.456623059;-43.925013350
172.23.72.154;2022-12-16 12:12:18.338116;-20.456623669;-43.925013232
172.23.72.154;2022-12-16 12:12:48.697963;-20.456623632;-43.925013012
172.23.72.154;2022-12-16 12:13:18.870041;-20.456623436;-43.925012686
172.23.72.154;2022-12-16 12:13:49.099036;-20.456623173;-43.925012454
172.23.72.154;2022-12-16 12:14:19.977809;-20.456852352;-43.924906968
172.23.72.154;2022-12-16 12:14:49.786205;-20.456905836;-43.925186352
172.23.72.154;2022-12-16 12:15:19.972194;-20.457091423;-43.925033899
172.23.72.154;2022-12-16 12:15:50.138557;-20.457094493;-43.925035610
172.23.72.154;2022-12-16 12:16:20.551811;-20.457091505;-43.925034864
172.23.72.154;2022-12-16 12:16:50.796493;-20.457091842;-43.925034798
172.23.72.154;2022-12-16 12:17:20.914487;-20.457092335;-43.925035432
172.23.72.154;2022-12-16 12:17:51.262591;-20.457089174;-43.925034058
172.23.72.154;2022-12-16 12:18:21.450606;-20.457091804;-43.925032287
172.23.72.154;2022-12-16 12:18:51.784652;-20.457094903;-43.925032019
172.23.72.154;2022-12-16 12:19:22.036381;-20.457095201;-43.925031776
172.23.72.154;2022-12-16 12:19:52.350555;-20.457094529;-43.925032329
172.23.72.154;2022-12-16 12:20:22.430755;-20.456768430;-43.925657396
172.23.72.154;2023-10-23 10:29:53.945402;-20.475909700;-43.928225814
172.23.72.154;2023-10-23 10:30:25.462679;-20.474734315;-43.927095433
172.23.72.154;2023-10-23 10:31:35.477597;-20.471818133;-43.924010588
172.23.72.154;2023-10-23 10:32:11.761420;-20.473702686;-43.923498638
172.23.72.154;2023-10-23 10:32:45.367990;-20.475272353;-43.921393215
172.23.72.154;2023-10-23 10:33:19.632811;-20.474650004;-43.919109061
172.23.72.154;2023-10-23 10:33:52.644497;-20.474071431;-43.917421232
172.23.72.154;2023-10-23 10:34:27.013514;-20.473301578;-43.918775794
172.23.72.154;2023-10-23 10:35:02.251470;-20.472486732;-43.920896468
172.23.72.154;2023-10-23 10:35:34.540214;-20.471894402;-43.919446823
172.23.72.154;2023-10-23 10:36:10.849614;-20.470289226;-43.919352064
172.23.72.154;2023-10-23 10:36:45.280974;-20.468967732;-43.919722511
172.23.72.154;2023-10-23 10:37:17.972428;-20.468966259;-43.919724585
172.23.72.154;2023-10-23 10:37:52.719110;-20.468965638;-43.919725473
172.23.72.154;2023-10-23 10:38:30.200977;-20.468839052;-43.919707344
172.23.72.154;2023-10-23 10:39:01.558118;-20.468587533;-43.919550613
172.23.72.154;2023-10-23 10:39:34.033589;-20.468589022;-43.919550098
172.23.72.154;2023-10-23 10:40:10.028937;-20.468589569;-43.919549430
172.23.72.154;2023-10-23 10:40:44.730695;-20.468590170;-43.919548060
172.23.72.154;2023-10-23 10:41:17.870318;-20.468551846;-43.919408299
172.23.72.154;2023-10-23 10:41:52.443239;-20.468457390;-43.919310779
172.23.72.154;2023-10-23 10:42:25.986553;-20.468462477;-43.919301051
172.23.72.154;2023-10-23 10:42:59.225388;-20.468463109;-43.919301553
172.23.72.154;2023-10-23 10:43:36.520905;-20.468463342;-43.919301997
172.23.72.154;2023-10-23 10:44:09.545805;-20.468463742;-43.919302409
172.23.72.154;2023-10-23 10:44:45.707627;-20.468463997;-43.919302527
172.23.72.154;2023-10-23 10:45:18.612526;-20.468464279;-43.919302434
172.23.72.154;2023-10-23 10:45:51.554639;-20.469255432;-43.919357958
172.23.72.154;2023-10-23 10:46:26.296378;-20.470729999;-43.919411694
172.23.72.154;2023-10-23 10:46:59.441723;-20.471706128;-43.919585920
172.23.72.154;2023-10-23 10:47:36.508106;-20.472256263;-43.920429508
172.23.72.154;2023-10-23 10:48:10.041436;-20.472986693;-43.920889072
172.23.72.154;2023-10-23 10:48:44.743434;-20.473251228;-43.919664127
172.23.72.154;2023-10-23 10:49:17.584333;-20.473351095;-43.918762556
172.23.72.154;2023-10-23 10:49:51.775935;-20.473293930;-43.917730323
172.23.72.154;2023-10-23 10:50:25.639800;-20.474492461;-43.917659770
172.23.72.154;2023-10-23 10:50:59.827394;-20.474542955;-43.918700812
172.23.72.154;2023-10-23 10:51:33.321400;-20.474571396;-43.920021535
172.23.72.154;2023-10-23 10:52:10.365212;-20.476633543;-43.919452596
172.23.72.154;2023-10-23 10:52:44.113223;-20.476989585;-43.919611939
172.23.72.154;2023-10-23 10:53:18.835451;-20.476987681;-43.919614045
172.23.72.154;2023-10-23 10:53:52.309746;-20.476987571;-43.919615568
172.23.72.154;2023-10-23 10:54:26.449552;-20.476987520;-43.919616179
172.23.72.154;2023-10-23 10:55:01.237140;-20.476932058;-43.919161094
172.23.72.154;2023-10-23 10:55:34.817432;-20.477595064;-43.918715407
172.23.72.154;2023-10-23 10:56:10.441433;-20.477447573;-43.918914793
172.23.72.154;2023-10-23 10:56:44.858193;-20.477448112;-43.918914890
172.23.72.154;2023-10-23 10:57:18.569456;-20.477306555;-43.918729548
172.23.72.154;2023-10-23 10:57:52.225377;-20.475807795;-43.919558563
172.23.72.154;2023-10-23 10:58:26.487763;-20.474658555;-43.919229106
172.23.72.154;2023-10-23 10:58:59.913007;-20.474195883;-43.917410873
172.23.72.154;2023-10-23 10:59:33.897821;-20.473340845;-43.918753097
172.23.72.154;2023-10-23 11:00:10.234015;-20.472393037;-43.920658289
172.23.72.154;2023-10-23 11:00:43.672697;-20.471168168;-43.919462519
172.23.72.154;2023-10-23 11:01:17.325925;-20.469378661;-43.919526038
172.23.72.154;2023-10-23 11:01:51.355694;-20.468628275;-43.919553865
172.23.72.154;2023-10-23 11:02:25.545336;-20.468628247;-43.919553065
172.23.72.154;2023-10-23 11:02:59.296076;-20.468628662;-43.919552941
172.23.72.154;2023-10-23 11:03:32.415683;-20.468628730;-43.919552772
172.23.72.154;2023-10-23 11:04:09.793107;-20.468748787;-43.919370337
172.23.72.154;2023-10-23 11:04:44.396554;-20.468475607;-43.919299712
172.23.72.154;2023-10-23 11:05:17.792263;-20.468474175;-43.919297692
172.23.72.154;2023-10-23 11:05:54.704078;-20.468472901;-43.919298349
172.23.72.154;2023-10-23 11:06:25.843892;-20.468472898;-43.919298449
172.23.72.154;2023-10-23 11:06:59.565369;-20.468473456;-43.919298363
172.23.72.154;2023-10-23 11:07:33.654184;-20.468473426;-43.919298567
172.23.72.154;2023-10-23 11:08:10.177117;-20.470114624;-43.919249512
172.23.72.154;2023-10-23 11:08:49.281628;-20.471182480;-43.919566659
172.23.72.154;2023-10-23 11:09:17.341420;-20.472129164;-43.919786213
172.23.72.154;2023-10-23 11:09:51.294933;-20.472280957;-43.920906824
172.23.72.154;2023-10-23 11:10:26.054615;-20.473103527;-43.920564828
172.23.72.154;2023-10-23 11:11:00.208624;-20.473300457;-43.919445873
172.23.72.154;2023-10-23 11:11:34.156510;-20.473322024;-43.918537722
172.23.72.154;2023-10-23 11:12:16.952593;-20.473558117;-43.917497468
172.23.72.154;2023-10-23 11:12:42.607166;-20.474437766;-43.917615269
172.23.72.154;2023-10-23 11:13:16.193826;-20.474556203;-43.918590126
