172.23.72.234;2023-11-20 15:36:51.321532;-20.470504522;-43.920824948
172.23.72.234;2023-11-20 15:37:08.020650;-20.470504603;-43.920824939
172.23.72.234;2023-11-20 15:37:26.104711;-20.470504697;-43.920824935
172.23.72.234;2023-11-20 15:37:42.610707;-20.470504786;-43.920824937
172.23.72.234;2023-11-20 15:38:00.604687;-20.470504892;-43.920824946
172.23.72.234;2023-11-20 15:38:17.551580;-20.470504996;-43.920824959
172.23.72.234;2023-11-20 15:38:35.934417;-20.470505112;-43.920824980
172.23.72.234;2023-11-20 15:38:52.727141;-20.470505211;-43.920825005
172.23.72.234;2023-11-20 15:39:10.263175;-20.470505306;-43.920825036
172.23.72.234;2023-11-20 15:39:27.000272;-20.470505387;-43.920825063
172.23.72.234;2023-11-20 15:39:45.134730;-20.470505477;-43.920825086
172.23.72.234;2023-11-20 15:40:02.052835;-20.470505569;-43.920825097
172.23.72.234;2023-11-20 15:40:19.396702;-20.470505679;-43.920825100
172.23.72.234;2023-11-20 15:40:36.419421;-20.470505803;-43.920825099
172.23.72.234;2023-11-20 15:40:54.193734;-20.470505944;-43.920825099
172.23.72.234;2023-11-20 15:41:10.933899;-20.470506056;-43.920825102
172.23.72.234;2023-11-20 15:41:29.388747;-20.470506154;-43.920825102
172.23.72.234;2023-11-20 15:41:46.180732;-20.470506231;-43.920825102
172.23.72.234;2023-11-20 15:42:03.754593;-20.470506309;-43.920825104
172.23.72.234;2023-11-20 15:42:20.426266;-20.470506382;-43.920825105
172.23.72.234;2023-11-20 15:42:39.259515;-20.470506470;-43.920825106
172.23.72.234;2023-11-20 15:42:55.090811;-20.470506550;-43.920825104
172.23.72.234;2023-11-20 15:43:12.885984;-20.470506641;-43.920825097
172.23.72.234;2023-11-20 15:43:29.881390;-20.470506729;-43.920825084
172.23.72.234;2023-11-20 15:43:47.757688;-20.470506822;-43.920825064
172.23.72.234;2023-11-20 15:44:04.564075;-20.470506909;-43.920825040
172.23.72.234;2023-11-20 15:44:22.463574;-20.470506996;-43.920825011
172.23.72.234;2023-11-20 15:44:39.384154;-20.470507073;-43.920824980
172.23.72.234;2023-11-20 15:44:57.332723;-20.470507150;-43.920824945
172.23.72.234;2023-11-20 15:45:14.368979;-20.470507217;-43.920824910
172.23.72.234;2023-11-20 15:45:32.039698;-20.470507280;-43.920824870
172.23.72.234;2023-11-20 15:45:47.964844;-20.470507338;-43.920824832
172.23.72.234;2023-11-20 15:46:06.414797;-20.470507404;-43.920824787
172.23.72.234;2023-11-20 15:46:23.165641;-20.470507466;-43.920824745
172.23.72.234;2023-11-20 15:46:41.316728;-20.470507528;-43.920824700
172.23.72.234;2023-11-20 15:46:58.131218;-20.470507582;-43.920824658
172.23.72.234;2023-11-20 15:47:15.873521;-20.470507640;-43.920824613
172.23.72.234;2023-11-20 15:47:32.493981;-20.470507696;-43.920824570
172.23.72.234;2023-11-20 15:47:50.896740;-20.470507761;-43.920824523
172.23.72.234;2023-11-20 15:48:07.404722;-20.470507814;-43.920824482
172.23.72.234;2023-11-20 15:48:25.534490;-20.470507867;-43.920824439
172.23.72.234;2023-11-20 15:48:42.091987;-20.470507913;-43.920824399
