172.23.72.14;2023-10-23 12:18:18.876903;Erro;Erro;
172.23.72.14;2023-10-23 12:18:53.692892;Erro;Erro;
172.23.72.14;2023-10-23 12:19:26.460891;Erro;Erro;
172.23.72.14;2023-10-23 12:20:03.344683;Erro;Erro;
172.23.72.14;2023-10-23 12:20:36.092604;Erro;Erro;
172.23.72.14;2023-10-23 12:21:08.860972;Erro;Erro;
172.23.72.14;2023-10-23 12:21:43.685060;Erro;Erro;
172.23.72.14;2023-10-23 12:22:18.493074;Erro;Erro;
172.23.72.14;2023-10-23 12:22:53.308890;Erro;Erro;
172.23.72.14;2023-10-23 12:23:26.076893;Erro;Erro;
172.23.72.14;2023-10-23 12:24:00.892726;Erro;Erro;
172.23.72.14;2023-10-23 12:24:35.708585;Erro;Erro;
172.23.72.14;2023-10-23 12:25:10.524896;Erro;Erro;
172.23.72.14;2023-10-23 12:25:43.294340;Erro;Erro;
172.23.72.14;2023-10-23 12:26:18.108750;Erro;Erro;
172.23.72.14;2023-10-23 12:26:52.924751;Erro;Erro;
172.23.72.14;2023-10-23 12:27:27.740861;Erro;Erro;
172.23.72.14;2023-10-23 12:28:02.556879;Erro;Erro;
172.23.72.14;2023-10-23 12:28:37.376594;Erro;Erro;
172.23.72.14;2023-10-23 12:29:10.140817;Erro;Erro;
172.23.72.14;2023-10-23 12:29:47.012851;Erro;Erro;
172.23.72.14;2023-10-23 12:30:21.820896;Erro;Erro;
172.23.72.14;2023-10-23 12:30:56.636903;Erro;Erro;
172.23.72.14;2023-10-23 12:31:29.404930;Erro;Erro;
172.23.72.14;2023-10-23 12:32:04.220732;Erro;Erro;
172.23.72.14;2023-10-23 12:32:39.036858;Erro;Erro;
172.23.72.14;2023-10-23 12:33:11.804758;Erro;Erro;
172.23.72.14;2023-10-23 12:33:48.669078;Erro;Erro;
172.23.72.14;2023-10-23 12:34:23.484936;Erro;Erro;
172.23.72.14;2023-10-23 12:34:58.300886;Erro;Erro;
