172.23.72.194;2022-12-16 12:08:25.472116;Erro;Erro;
172.23.72.194;2022-12-16 12:08:56.192116;Erro;Erro;
172.23.72.194;2022-12-16 12:09:26.908084;Erro;Erro;
172.23.72.194;2022-12-16 12:09:55.584100;Erro;Erro;
172.23.72.194;2022-12-16 12:10:26.320188;Erro;Erro;
172.23.72.194;2022-12-16 12:10:57.020284;Erro;Erro;
172.23.72.194;2022-12-16 12:11:27.748091;Erro;Erro;
172.23.72.194;2022-12-16 12:11:56.424087;Erro;Erro;
172.23.72.194;2022-12-16 12:12:27.136133;Erro;Erro;
172.23.72.194;2022-12-16 12:12:57.852215;Erro;Erro;
172.23.72.194;2022-12-16 12:13:28.576122;Erro;Erro;
172.23.72.194;2022-12-16 12:13:57.248144;Erro;Erro;
172.23.72.194;2022-12-16 12:14:27.980154;Erro;Erro;
172.23.72.194;2022-12-16 12:14:58.680137;Erro;Erro;
172.23.72.194;2022-12-16 12:15:29.400094;Erro;Erro;
172.23.72.194;2022-12-16 12:16:00.132135;Erro;Erro;
172.23.72.194;2022-12-16 12:16:28.792121;Erro;Erro;
172.23.72.194;2022-12-16 12:16:59.512108;Erro;Erro;
172.23.72.194;2022-12-16 12:17:30.240120;Erro;Erro;
172.23.72.194;2022-12-16 12:18:00.960184;Erro;Erro;
172.23.72.194;2022-12-16 12:18:29.636337;Erro;Erro;
172.23.72.194;2022-12-16 12:19:00.344102;Erro;Erro;
172.23.72.194;2022-12-16 12:19:31.072140;Erro;Erro;
172.23.72.194;2022-12-16 12:20:01.784116;Erro;Erro;
172.23.72.194;2022-12-16 12:20:32.512088;Erro;Erro;
172.23.72.194;2023-10-23 10:32:03.453109;Erro;Erro;
172.23.72.194;2023-10-23 10:32:36.232602;Erro;Erro;
172.23.72.194;2023-10-23 10:33:45.852887;Erro;Erro;
172.23.72.194;2023-10-23 10:34:20.684646;Erro;Erro;
172.23.72.194;2023-10-23 10:34:55.496655;Erro;Erro;
172.23.72.194;2023-10-23 10:35:30.300931;Erro;Erro;
172.23.72.194;2023-10-23 10:36:03.076626;Erro;Erro;
172.23.72.194;2023-10-23 10:36:37.896624;Erro;Erro;
172.23.72.194;2023-10-23 10:37:10.660824;Erro;Erro;
172.23.72.194;2023-10-23 10:37:45.484649;Erro;Erro;
172.23.72.194;2023-10-23 10:38:20.304638;Erro;Erro;
172.23.72.194;2023-10-23 10:38:55.108864;Erro;Erro;
172.23.72.194;2023-10-23 10:39:29.916927;Erro;Erro;
172.23.72.194;2023-10-23 10:40:02.684928;Erro;Erro;
172.23.72.194;2023-10-23 10:40:37.500644;Erro;Erro;
172.23.72.194;2023-10-23 10:41:10.276854;Erro;Erro;
172.23.72.194;2023-10-23 10:41:45.097247;Erro;Erro;
172.23.72.194;2023-10-23 10:42:19.916636;Erro;Erro;
172.23.72.194;2023-10-23 10:42:54.728623;Erro;Erro;
172.23.72.194;2023-10-23 10:43:27.484896;Erro;Erro;
172.23.72.194;2023-10-23 10:44:02.300903;Erro;Erro;
172.23.72.194;2023-10-23 10:44:35.076739;Erro;Erro;
172.23.72.194;2023-10-23 10:45:09.896621;Erro;Erro;
172.23.72.194;2023-10-23 10:45:42.657020;Erro;Erro;
172.23.72.194;2023-10-23 10:46:21.580589;Erro;Erro;
172.23.72.194;2023-10-23 10:46:54.332899;Erro;Erro;
172.23.72.194;2023-10-23 10:47:29.152922;Erro;Erro;
172.23.72.194;2023-10-23 10:48:01.924851;Erro;Erro;
172.23.72.194;2023-10-23 10:48:36.736941;Erro;Erro;
172.23.72.194;2023-10-23 10:49:09.504809;Erro;Erro;
172.23.72.194;2023-10-23 10:49:44.320873;Erro;Erro;
172.23.72.194;2023-10-23 10:50:19.156615;Erro;Erro;
172.23.72.194;2023-10-23 10:50:53.964660;Erro;Erro;
172.23.72.194;2023-10-23 10:51:28.764916;Erro;Erro;
172.23.72.194;2023-10-23 10:52:01.536885;Erro;Erro;
172.23.72.194;2023-10-23 10:52:36.348629;Erro;Erro;
172.23.72.194;2023-10-23 10:53:09.128621;Erro;Erro;
172.23.72.194;2023-10-23 10:53:43.940899;Erro;Erro;
172.23.72.194;2023-10-23 10:54:20.796914;Erro;Erro;
172.23.72.194;2023-10-23 10:54:53.576628;Erro;Erro;
172.23.72.194;2023-10-23 10:55:28.396635;Erro;Erro;
172.23.72.194;2023-10-23 10:56:03.208597;Erro;Erro;
172.23.72.194;2023-10-23 10:56:35.972869;Erro;Erro;
172.23.72.194;2023-10-23 10:57:10.788607;Erro;Erro;
172.23.72.194;2023-10-23 10:57:45.604882;Erro;Erro;
172.23.72.194;2023-10-23 10:58:20.412912;Erro;Erro;
172.23.72.194;2023-10-23 10:58:55.244603;Erro;Erro;
172.23.72.194;2023-10-23 10:59:28.004853;Erro;Erro;
172.23.72.194;2023-10-23 11:00:02.816898;Erro;Erro;
172.23.72.194;2023-10-23 11:00:37.640624;Erro;Erro;
172.23.72.194;2023-10-23 11:01:10.404890;Erro;Erro;
172.23.72.194;2023-10-23 11:01:45.217343;Erro;Erro;
172.23.72.194;2023-10-23 11:02:20.028925;Erro;Erro;
